n,time-seconds
1,0.0143280000
2,0.0000820000
3,0.0006640000
4,0.0000420000
5,0.0000290000
6,0.0000390000
7,0.0000500000
8,0.0000720000
9,0.0001420000
10,0.0002920000
11,0.0005950000
12,0.0011810000
13,0.0024520000
14,0.0050950000
15,0.0110900000
16,0.0226050000
17,0.0478380000
18,0.1032820000
19,0.1952740000
20,0.3996250000
21,0.8381140000
22,1.7213960000
23,3.6020690000
24,7.4924270000
