n,time-seconds
355,0.0027607080
356,0.0028717500
357,0.0029087910
358,0.0030456670
359,0.0027341660
360,0.0027818750
361,0.0028666250
362,0.0030558330
363,0.0030607920
364,0.0028557080
365,0.0034442500
366,0.0090852500
367,0.0088462500
368,0.0038429160
369,0.0035696670
370,0.0034446670
371,0.0030388750
372,0.0032864170
373,0.0031122080
374,0.0031355000
375,0.0031983330
376,0.0031558330
377,0.0032293750
378,0.0029212920
379,0.0029247500
380,0.0030479170
381,0.0031363750
382,0.0029396250
383,0.0030352920
384,0.0029829580
385,0.0034222920
386,0.0030297500
387,0.0030470420
388,0.0030888750
389,0.0031489170
390,0.0034261250
391,0.0032532500
392,0.0030629580
393,0.0032368330
394,0.0032056660
395,0.0034458750
396,0.0032179170
397,0.0032999590
398,0.0031772920
399,0.0034922090
400,0.0032310420
401,0.0035116250
402,0.0032361250
403,0.0037597920
404,0.0035400830
405,0.0038425420
406,0.0038105840
407,0.0035159170
408,0.0034014580
409,0.0038859580
410,0.0040280000
411,0.0040668750
412,0.0038483340
413,0.0038097500
414,0.0040445420
415,0.0039626250
416,0.0037462500
417,0.0038645830
418,0.0041351250
419,0.0038074170
420,0.0035830830
421,0.0036710420
422,0.0037225830
423,0.0040831250
424,0.0036642080
425,0.0038770830
426,0.0038635420
427,0.0044845830
428,0.0039283330
429,0.0039546250
430,0.0040129590
431,0.0040165000
432,0.0037995830
433,0.0040204580
434,0.0038556250
435,0.0041642910
436,0.0038952910
437,0.0044150830
438,0.0042069170
439,0.0046567500
440,0.0042010420
441,0.0042717910
442,0.0045488750
443,0.0045475840
444,0.0043212080
445,0.0042797500
446,0.0040030000
447,0.0045809170
448,0.0042075000
449,0.0045029580
450,0.0045149590
451,0.0043034580
452,0.0043473750
453,0.0040970830
454,0.0045896250
455,0.0041325420
456,0.0041978750
457,0.0046222920
458,0.0046575830
459,0.0044016670
460,0.0043968330
461,0.0043876250
462,0.0047226250
463,0.0042585840
464,0.0043362500
465,0.0049533750
466,0.0047803340
467,0.0045239580
468,0.0047154170
469,0.0050503340
470,0.0046778330
471,0.0048560000
472,0.0048625420
473,0.0044328750
474,0.0046595830
475,0.0044482500
476,0.0047852920
477,0.0047819590
478,0.0048560420
479,0.0048449170
480,0.0047950000
481,0.0050554170
482,0.0049407500
483,0.0050266660
484,0.0050819580
485,0.0048998340
486,0.0051782080
