n,time-seconds
355,0.0838429170
356,0.0835899580
357,0.0842681250
358,0.0840600420
359,0.0846627920
360,0.0853392080
361,0.0858284580
362,0.0861871670
363,0.0876493750
364,0.0872315830
365,0.0877742500
366,0.0879835410
367,0.0884876670
368,0.0889747080
369,0.0903136250
370,0.0896322920
371,0.0900931250
372,0.0908531660
373,0.0911604580
374,0.0934133340
375,0.0926709580
376,0.0926990840
377,0.0931152920
378,0.0937872920
379,0.0946287500
380,0.0958415420
381,0.0954026250
382,0.0963764170
383,0.0960040000
384,0.0968211250
385,0.0968570410
386,0.0978705000
387,0.0983133330
388,0.0988573330
389,0.0992719160
390,0.0994844170
391,0.1007385410
392,0.1008055000
393,0.1013799170
394,0.1017674170
395,0.1019695420
396,0.1023681660
397,0.1030307080
398,0.1041107500
399,0.1039406670
400,0.1061645840
401,0.1056472500
402,0.1055393340
403,0.1068707080
404,0.1083729580
405,0.1099650000
406,0.1087093750
407,0.1082984580
408,0.1086504580
409,0.1094266250
410,0.1093583340
411,0.1104216670
412,0.1135660410
413,0.1129444580
414,0.1135505000
415,0.1124098750
416,0.1124649580
417,0.1142756670
418,0.1137012080
419,0.1141103750
420,0.1153698340
421,0.1154187500
422,0.1162181250
423,0.1168335420
424,0.1179637920
425,0.1169201250
426,0.1188672090
427,0.1197522080
428,0.1195205000
429,0.1203357090
430,0.1198597910
431,0.1349974170
432,0.1274583750
433,0.1277056670
434,0.1271011660
435,0.1236941670
436,0.1240978750
437,0.1241674160
438,0.1244017080
439,0.1264706670
440,0.1319472090
441,0.1271463750
442,0.1275762920
443,0.1312923330
444,0.1285300420
445,0.1299790420
446,0.1360223750
447,0.1345209590
448,0.1319161670
449,0.1330712500
450,0.1325204580
451,0.1329385000
452,0.1344320000
453,0.1341555410
454,0.1366777080
455,0.1378877080
456,0.1359334170
457,0.1375334590
458,0.1374599170
459,0.1371174170
460,0.1399656250
461,0.1417490420
462,0.1400225410
463,0.1404700830
464,0.1409820410
465,0.1413312500
466,0.1423432500
467,0.1416427080
468,0.1425595840
469,0.1449877920
470,0.1438602500
471,0.1442155420
472,0.1454382920
473,0.1452312920
474,0.1481133330
475,0.1542173330
476,0.1490016250
477,0.1495934590
478,0.1485462920
479,0.1506770410
480,0.1496821660
481,0.1512776250
482,0.1612429590
483,0.1519227920
484,0.1530583750
485,0.1545609590
486,0.1534778750
487,0.1551270420
488,0.1567459160
489,0.1574400420
490,0.1576960830
491,0.1582982500
492,0.1575430830
493,0.1595196250
494,0.1590057090
495,0.1597033330
496,0.1603568750
497,0.1660054580
498,0.1674694170
499,0.1640580830
500,0.1710987090
501,0.1727272500
502,0.1644791250
503,0.1662924590
504,0.1669402910
505,0.1659599580
506,0.1677273750
507,0.1735748750
508,0.1673552500
